regiao;estado;coduf;data;semanaEpidemiologica;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos
Nordeste;PI;22;2021-08-28;34;3273227;316053;195;6941;2
Nordeste;PI;22;2021-08-29;35;3273227;316174;121;6943;2
Nordeste;PI;22;2021-08-30;35;3273227;316246;72;6945;2
Nordeste;PI;22;2021-08-31;35;3273227;316440;194;6945;0
Nordeste;PI;22;2021-09-01;35;3273227;316699;259;6946;1
Nordeste;PI;22;2021-09-02;35;3273227;316900;201;6950;4
Nordeste;PI;22;2021-09-03;35;3273227;317096;196;6951;1
Nordeste;PI;22;2021-09-04;35;3273227;317261;165;6953;2
Nordeste;PI;22;2021-09-05;36;3273227;317349;88;6956;3
Nordeste;PI;22;2021-09-06;36;3273227;317417;68;6959;3
Nordeste;PI;22;2021-09-07;36;3273227;317558;141;6963;4
Nordeste;PI;22;2021-09-08;36;3273227;317693;135;6964;1
Nordeste;PI;22;2021-09-09;36;3273227;317760;67;6965;1
Nordeste;PI;22;2021-09-10;36;3273227;317817;57;6966;1
Nordeste;PI;22;2021-09-11;36;3273227;317918;101;6969;3
Nordeste;PI;22;2021-09-12;37;3273227;318022;104;6971;2
Nordeste;PI;22;2021-09-13;37;3273227;318033;11;6975;4
Nordeste;PI;22;2021-09-14;37;3273227;318066;33;6980;5
Nordeste;PI;22;2021-09-15;37;3273227;318125;59;6980;0
Nordeste;PI;22;2021-09-16;37;3273227;318228;103;6983;3
Nordeste;PI;22;2021-09-17;37;3273227;318337;109;6984;1
Nordeste;PI;22;2021-09-18;37;3273227;318371;34;6985;1
Nordeste;PI;22;2021-09-19;38;3273227;318473;102;6987;2
Nordeste;PI;22;2021-09-20;38;3273227;318493;20;6987;0
Nordeste;PI;22;2021-09-21;38;3273227;318566;73;6988;1
Nordeste;PI;22;2021-09-22;38;3273227;318608;42;6989;1
Nordeste;PI;22;2021-09-23;38;3273227;318702;94;6992;3
Nordeste;PI;22;2021-09-24;38;3273227;318815;113;6995;3
Nordeste;PI;22;2021-09-25;38;3273227;318919;104;6997;2
Nordeste;PI;22;2021-09-26;39;3273227;319057;138;7002;5
Nordeste;PI;22;2021-09-27;39;3273227;319098;41;7004;2
Nordeste;PI;22;2021-09-28;39;3273227;319116;18;7006;2
Nordeste;PI;22;2021-09-29;39;3273227;319282;166;7007;1
Nordeste;PI;22;2021-09-30;39;3273227;319334;52;7011;4
Nordeste;PI;22;2021-10-01;39;3273227;319410;76;7012;1
Nordeste;PI;22;2021-10-02;39;3273227;319572;162;7016;4
Nordeste;PI;22;2021-10-03;40;3273227;319706;134;7016;0
Nordeste;PI;22;2021-10-04;40;3273227;319762;56;7017;1
Nordeste;PI;22;2021-10-05;40;3273227;319783;21;7018;1
Nordeste;PI;22;2021-10-06;40;3273227;319841;58;7019;1
Nordeste;PI;22;2021-10-07;40;3273227;320596;755;7025;6
