data,coduf,regiao,continente,casosNovos,casosAcumulado,obitosNovos,obitosAcumulado
2022-04-15,NZ,New Zealand,WPRO,5711,816658,9,543
2022-04-16,NZ,New Zealand,WPRO,5965,822623,11,554
2022-04-17,NZ,New Zealand,WPRO,6244,828867,10,564
2022-04-18,NZ,New Zealand,WPRO,8227,837094,6,570
2022-04-19,NZ,New Zealand,WPRO,11122,848216,12,582
2022-04-20,NZ,New Zealand,WPRO,10245,858461,18,600
2022-04-21,NZ,New Zealand,WPRO,9446,867907,10,610
2022-04-22,NZ,New Zealand,WPRO,7868,875775,17,627
2022-04-23,NZ,New Zealand,WPRO,5683,881458,9,636
2022-04-24,NZ,New Zealand,WPRO,5734,887192,8,644
2022-04-25,NZ,New Zealand,WPRO,6355,893547,5,649
2022-04-26,NZ,New Zealand,WPRO,9816,903363,22,671
2022-04-27,NZ,New Zealand,WPRO,9049,912412,12,683
2022-04-28,NZ,New Zealand,WPRO,8316,920728,13,696
2022-04-29,NZ,New Zealand,WPRO,7018,927746,6,702
2022-04-30,NZ,New Zealand,WPRO,5679,933425,5,707
2022-05-01,NZ,New Zealand,WPRO,6683,940108,6,713
2022-05-02,NZ,New Zealand,WPRO,9113,949221,18,731
2022-05-03,NZ,New Zealand,WPRO,8520,957741,22,753
2022-05-04,NZ,New Zealand,WPRO,8630,966371,21,774
2022-05-05,NZ,New Zealand,WPRO,7426,973797,0,774
2022-05-06,NZ,New Zealand,WPRO,6744,980541,34,808
2022-05-07,NZ,New Zealand,WPRO,5727,986268,2,810
2022-05-08,NZ,New Zealand,WPRO,6379,992647,2,812
2022-05-09,NZ,New Zealand,WPRO,9182,1001829,14,826
2022-05-10,NZ,New Zealand,WPRO,7987,1009816,29,855
2022-05-11,NZ,New Zealand,WPRO,9380,1019196,8,863
2022-05-12,NZ,New Zealand,WPRO,7519,1026715,29,892
2022-05-13,NZ,New Zealand,WPRO,7041,1033756,17,909
2022-05-14,NZ,New Zealand,WPRO,5806,1039562,14,923
2022-05-15,NZ,New Zealand,WPRO,11242,1050804,6,929
2022-05-16,NZ,New Zealand,WPRO,9908,1060712,0,929
2022-05-17,NZ,New Zealand,WPRO,5284,1065996,38,967
2022-05-18,NZ,New Zealand,WPRO,9098,1075094,6,973
2022-05-19,NZ,New Zealand,WPRO,7812,1082906,17,990
2022-05-20,NZ,New Zealand,WPRO,6703,1089609,7,997
2022-05-21,NZ,New Zealand,WPRO,5034,1094643,10,1007
