data,coduf,obitosNovos
2020-09-04,NZ,0
2020-09-05,NZ,2
2020-09-06,NZ,0
2020-09-07,NZ,0
2020-09-08,NZ,0
2020-09-09,NZ,0
2020-09-10,NZ,0
2020-09-11,NZ,0
2020-09-12,NZ,0
2020-09-13,NZ,0
2020-09-14,NZ,0
2020-09-15,NZ,0
2020-09-16,NZ,1
2020-09-17,NZ,0
2020-09-18,NZ,0
2020-09-19,NZ,0
2020-09-20,NZ,0
2020-09-21,NZ,0
2020-09-22,NZ,0
2020-09-23,NZ,0
2020-09-24,NZ,0
2020-09-25,NZ,0
2020-09-26,NZ,0
2020-09-27,NZ,0
2020-09-28,NZ,0
2020-09-29,NZ,0
2020-09-30,NZ,0
2020-10-01,NZ,0
2020-10-02,NZ,0
2020-10-03,NZ,0
2020-10-04,NZ,0
2020-10-05,NZ,0
2020-10-06,NZ,0
2020-10-07,NZ,0
2020-10-08,NZ,0
2020-10-09,NZ,0
2020-10-10,NZ,0
2020-10-11,NZ,0
2020-10-12,NZ,0
2020-10-13,NZ,0
2020-10-14,NZ,0
2020-10-15,NZ,0
2020-10-16,NZ,0
2020-10-17,NZ,0
2020-10-18,NZ,0
2020-10-19,NZ,0
2020-10-20,NZ,0
2020-10-21,NZ,0
2020-10-22,NZ,0
2020-10-23,NZ,0
2020-10-24,NZ,0
2020-10-25,NZ,0
2020-10-26,NZ,0
2020-10-27,NZ,0
2020-10-28,NZ,0
2020-10-29,NZ,0
2020-10-30,NZ,0
2020-10-31,NZ,0
2020-11-01,NZ,0
2020-11-02,NZ,0
2020-11-03,NZ,0
2020-11-04,NZ,0
2020-11-05,NZ,0
2020-11-06,NZ,0
2020-11-07,NZ,0
2020-11-08,NZ,0
2020-11-09,NZ,0
2020-11-10,NZ,0
2020-11-11,NZ,0
2020-11-12,NZ,0
2020-11-13,NZ,0
2020-11-14,NZ,0
2020-11-15,NZ,0
2020-11-16,NZ,0
2020-11-17,NZ,0
2020-11-18,NZ,0
2020-11-19,NZ,0
2020-11-20,NZ,0
2020-11-21,NZ,0
2020-11-22,NZ,0
2020-11-23,NZ,0
2020-11-24,NZ,0
2020-11-25,NZ,0
2020-11-26,NZ,0
2020-11-27,NZ,0
2020-11-28,NZ,0
2020-11-29,NZ,0
2020-11-30,NZ,0
2020-12-01,NZ,0
2020-12-02,NZ,0
2020-12-03,NZ,0
2020-12-04,NZ,0
2020-12-05,NZ,0
2020-12-06,NZ,0
2020-12-07,NZ,0
2020-12-08,NZ,0
2020-12-09,NZ,0
2020-12-10,NZ,0
2020-12-11,NZ,0
2020-12-12,NZ,0
2020-12-13,NZ,0
2020-12-14,NZ,0
2020-12-15,NZ,0
2020-12-16,NZ,0
2020-12-17,NZ,0
2020-12-18,NZ,0
2020-12-19,NZ,0
2020-12-20,NZ,0
2020-12-21,NZ,0
2020-12-22,NZ,0
2020-12-23,NZ,0
2020-12-24,NZ,0
2020-12-25,NZ,0
2020-12-26,NZ,0
2020-12-27,NZ,0
2020-12-28,NZ,0
2020-12-29,NZ,0
2020-12-30,NZ,0
2020-12-31,NZ,0
2021-01-01,NZ,0
2021-01-02,NZ,0
2021-01-03,NZ,0
2021-01-04,NZ,0
2021-01-05,NZ,0
2021-01-06,NZ,0
2021-01-07,NZ,0
2021-01-08,NZ,0
2021-01-09,NZ,0
2021-01-10,NZ,0
2021-01-11,NZ,0
2021-01-12,NZ,0
2021-01-13,NZ,0
2021-01-14,NZ,0
2021-01-15,NZ,0
2021-01-16,NZ,0
2021-01-17,NZ,0
2021-01-18,NZ,0
2021-01-19,NZ,0
2021-01-20,NZ,0
2021-01-21,NZ,0
2021-01-22,NZ,0
2021-01-23,NZ,0
2021-01-24,NZ,0
2021-01-25,NZ,0
2021-01-26,NZ,0
2021-01-27,NZ,0
2021-01-28,NZ,0
2021-01-29,NZ,0
2021-01-30,NZ,0
2021-01-31,NZ,0
2021-02-01,NZ,0
2021-02-02,NZ,0
2021-02-03,NZ,0
2021-02-04,NZ,0
2021-02-05,NZ,0
2021-02-06,NZ,0
2021-02-07,NZ,0
2021-02-08,NZ,0
2021-02-09,NZ,0
2021-02-10,NZ,0
2021-02-11,NZ,0
2021-02-12,NZ,0
2021-02-13,NZ,0
2021-02-14,NZ,0
2021-02-15,NZ,0
2021-02-16,NZ,1
2021-02-17,NZ,0
